Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
,,,,,,
"100uF,50V",Capacitor Polarised,C1,"100uF,50V",MAL203690109E3,1,
100nF,"Capacitor, C0805","C2, C3",C_5.08mm,C0805,2,
"220uF,35V","Capacitor Polarised,220uF,35V",C4,"220uF,35V","220uF,35V",1,
1N5822,Schottky Diode,D1,1N5822_(Short),1N5822,1,
1N4007,Diode,D2,1N4007,1N4007,1,
47uH,Inductor,I1,47uH_Through_Hole,SMDRI127-470MT,1,
"Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector","2 Pin Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector","JP1, JP2",2_Pin_Pluggable_Terminal,2_Pin_Pluggable_Terminal,2,
Screw_Terminal,"Pluggable, Receptacle, Horizontal, 5.08 Pitch, Terminal Block Connector","JP3, JP4",4_Pin_Pluggable_Terminal,4_Pin_Pluggable_Terminal,2,
LED,"Light Emitting Diode, 5MM, 3.3V","L1, L5",LED_RED,LED_Red,2,
LED,"Light Emitting Diode, 5MM, 3.3V",L2,LED_Yellow,LED_Yellow,1,
LED,"Light Emitting Diode, 5MM, 3.3V",L3,LED_Blue,LED_Blue,1,
LED,"Light Emitting Diode, 5MM, 3.3V",L4,LED_Green,LED_Green,1,
LED,"Light Emitting Diode, 5MM, 3.3V",L6,LED_Orange,LED_Orange,1,
Mounting_Holes_3.2mm,Mounting_Holes_3.2mm,"MH1, MH2, MH3, MH4",Mounting_Hole_3.2mm,Mounting_Holes_3.2mm,4,
2N2222A,Transistor BJT NPN,Q1,2N2222A_(TO-92),2N2222A,1,
1K,Resistor,"R1, R3, R4",Resistor,Resistor,3,
330R,Resistor,"R2, R5",Resistor,Resistor,2,
switch 12mm,Switch Tactile N.O. SPST Flat Plunger PC Pins 0.05A 24VDC 1.27N Thru-Hole Bag,SW1,Switch_12mm,Switch_12mm,1,
ESP32 WROOM,"ESP32 WROOM, 3.3V",U1,ESP32_(Through Hole),ESP32 WROOM,1,
LM2596S,"Integrated Circuit,Step-down type TO-263-5 DC-DC Converters ROHS",U2,LM2596,LM2596S-5.0,1,
DS3231_RCT Module,DS3231_RCT Module,U3,DS3231_RCT_MODULE,RCT Module,1,
SD_Card_Module,SD_Card_Module,U4,SD_Card_Module,SD_Card_Module,1,
5V_Relay,Relay or Contactor,U5,SRD_05VDC_SL_C,SRD-05VDC-SL-C,1,
PJ-002A,DC-005 DC Power Jack Female Adapter PCB Mount - 2.1 x 5.5mm,U6,PJ002A,PJ-002A,1,
3296W-1-103,±10% ±250ppm/? 10kO Plugin Variable Resistors/Potentiometers ROHS,VR1,3296W-1-103,3296W-1-103,1,
